case_name,pagerank
Boyd V United States,0.005559
United States V Detroit Timber Lumber Co,0.003555
Stone V Farmers Loan Trust Co,0.003274
Butchers Benevolent Assn V Crescent City Live Stock Landing,0.003226
Reid V Colorado,0.002689
Bailey V Magwire,0.002674
Chicago Milwaukee St Paul Railway Co V Minnesota,0.002656
Pembina Consolidated Silver Mining Milling Co V Pennsylvania,0.002646
United States V American Tobacco Co,0.002353
Monongahela Navigation Co V United States,0.002345
Hecht V Boughton,0.002345
Ducat V Chicago,0.002341
Mccray V United States,0.002215
Home Insurance V New York State,0.00219
Tucker V Ferguson,0.002157
Nielsen,0.002145
Fertilizing Co V Hyde Park,0.002127
Murphy V Ramsey,0.002095
Mugler V Kansas,0.002048
St Paul Sioux City Railroad V Winona St Peter Railroad,0.002048
